Company,Ratings,Reviews,Industry,Location,Salary,Jobs,Benefits
TCS,3.4,1.1L,IT Services & Consulting,Bangalore / Bengaluru,937500.0,1.4k,10.6k
Accenture,3.7,69.6k,IT Services & Consulting,Bangalore / Bengaluru,1020249.0,38.9k,6.7k
Wipro,3.6,61.9k,IT Services & Consulting,Hyderabad / Secunderabad,1064999.0,4.9k,4.6k
Cognizant,3.7,58.9k,IT Services & Consulting,Hyderabad / Secunderabad,1110250.0,821,5.5k
Capgemini,3.7,50.5k,IT Services & Consulting,Bangalore / Bengaluru,1105000.0,2.1k,3.6k
HDFC Bank,3.8,49.2k,Banking,Mumbai,946500.0,182,3.2k
Infosys,3.5,46.3k,IT Services & Consulting,Bangalore / Bengaluru,1108750.0,2.3k,4.8k
ICICI Bank,4.0,44.4k,Banking,Mumbai,901750.0,25,3.7k
HCLTech,3.4,43.5k,IT Services & Consulting,Chennai,,320,3.8k
Tech Mahindra,3.4,41.6k,IT Services & Consulting,Hyderabad / Secunderabad,922749.0,466,3.4k
Genpact,3.6,39.9k,IT Services & Consulting,Hyderabad / Secunderabad,1272750.0,300,3.5k
Teleperformance,3.8,35.7k,BPO,Mumbai,369749.0,1.2k,1.8k
Axis Bank,3.6,31.6k,Banking,Mumbai,1051000.0,,2.1k
Concentrix Corporation,3.6,30.9k,BPO,Bangalore / Bengaluru,414250.0,89,3.1k
Jio,4.3,30.9k,Telecom,Mumbai,1222750.0,36,2.5k
Amazon,3.9,,Internet,Bangalore / Bengaluru,1351000.0,1.2k,4.1k
iEnergizer,4.6,27.2k,BPO,Noida,408499.0,55,430
Reliance Retail,3.9,26.5k,Retail,Mumbai,682500.0,53,1.9k
IBM,3.9,,IT Services & Consulting,Bangalore / Bengaluru,1668499.0,2.5k,2.6k
LTIMindtree,3.6,24.6k,IT Services & Consulting,Bangalore / Bengaluru,1301000.0,452,775
HDB Financial Services,3.9,24.5k,NBFC,Mumbai,286750.0,206,1.5k
Larsen & Toubro Limited,3.9,22.7k,Engineering & Construction,Chennai,,875,2.8k
Deloitte,3.7,21.9k,Management Consulting,Hyderabad / Secunderabad,1589750.0,1.6k,2.4k
Kotak Mahindra Bank,3.6,21.3k,Banking,Mumbai,1002999.0,1.4k,1.3k
Reliance Industries,4.0,19.4k,Oil & Gas,Jamnagar,1286750.0,66,1.8k
Vodafone Idea,3.9,17.2k,Telecom,Pune,1114250.0,24,
BYJU,3.2,16.6k,EdTech,Bangalore / Bengaluru,,,1.7k
Bharti Airtel,3.9,16.5k,Telecom,Gurgaon / Gurugram,873000.0,149,1.6k
WNS,3.3,14.4k,IT Services & Consulting,Pune,832750.0,90,1.3k
Tata Motors,4.1,13.7k,Automobile,Pune,642250.0,165,1.6k
AU Small Finance Bank,3.9,13.7k,Banking,Jaipur,651500.0,17,577
Ernst & Young,3.4,13.5k,Management Consulting,Bangalore / Bengaluru,,2.3k,1.2k
IndusInd Bank,3.4,13.5k,Banking,Mumbai,986000.0,153,793
IDFC FIRST Bank,3.9,13.4k,Banking,Mumbai,770500.0,43,695
Flipkart,3.9,12.4k,Internet,Bangalore / Bengaluru,1338500.0,205,1.4k
Bajaj Finserv,3.9,12.1k,Financial Services,Pune,897999.0,21,719
PwC,3.3,11.7k,Management Consulting,Bangalore / Bengaluru,2025500.0,1.1k,800
DXC Technology,3.6,11.6k,IT Services & Consulting,Bangalore / Bengaluru,861999.0,283,1.1k
Mahindra & Mahindra,4.0,11.6k,Automobile,Pune,,,1.2k
Infosys BPM,3.5,11.5k,BPO,Bangalore / Bengaluru,531500.0,86,1.1k
HDFC Life,3.9,11.4k,Insurance,Mumbai,655250.0,108,613
Muthoot FinCorp,4.5,10.7k,NBFC,Bangalore / Bengaluru,346250.0,49,275
Bandhan Bank,3.7,10.3k,Banking,Kolkata,636250.0,13,517
Conneqt Business Solutions,3.5,,BPO,Hyderabad / Secunderabad,296500.0,397,773
Mphasis,3.3,9.8k,IT Services & Consulting,Bangalore / Bengaluru,1232500.0,36,845
Yes Bank,3.7,9.6k,Banking,Mumbai,1160750.0,186,608
Tata Steel,4.0,9.5k,Iron & Steel,Jamshedpur,932499.0,,657
Quess,3.8,9.2k,Recruitment,Bangalore / Bengaluru,411000.0,,439
Startek,3.1,9.1k,BPO,Bangalore / Bengaluru,297500.0,126,681
Asian Paints,3.9,,Chemicals,Mumbai,1002249.0,46,883
Paytm,3.2,8.9k,FinTech,Noida,1333000.0,484,581
UltraTech Cement,4.1,8.9k,Building Material,Mumbai,760500.0,24,619
Shriram Finance,4.0,8.7k,NBFC,Chennai,317250.0,,28
Maruti Suzuki,4.2,8.7k,Automobile,Gurgaon / Gurugram,1019249.0,644,977
Bajaj Finance,3.9,8.6k,NBFC,Pune,948750.0,6.7k,497
Sutherland Global Services,3.4,8.5k,BPO,Chennai,424250.0,286,901
EXL Service,3.6,8.3k,IT Services & Consulting,Noida,1133750.0,1.3k,799
Cipla,4.1,8.2k,Pharma,Mumbai,941250.0,82,850
Samsung,3.9,8.2k,Consumer Electronics & Appliances,Noida,1982749.0,52,528
Ericsson,4.0,8.2k,Telecom,Noida,1363000.0,24,998
Wells Fargo,3.7,,Financial Services,Bangalore / Bengaluru,1807249.0,40,854
Dr. Reddy,4.0,7.9k,Pharma,Hyderabad / Secunderabad,,20,740
Optum Global Solutions,4.0,7.6k,IT Services & Consulting,Hyderabad / Secunderabad,1198999.0,109,686
HGS,3.8,7.5k,BPO,Bangalore / Bengaluru,347999.0,16,968
ICICI Prudential Life Insurance,4.0,7.5k,Insurance,Mumbai,609249.0,1.1k,625
Delhivery,3.8,7.4k,Logistics,Gurgaon / Gurugram,665000.0,124,656
JPMorgan Chase & Co.,3.8,7.4k,Financial Services,Bangalore / Bengaluru,,793,844
JSW Steel,3.9,7.4k,Iron & Steel,Ballari,869999.0,119,600
Jana Small Finance Bank,3.8,7.3k,Banking,Bangalore / Bengaluru,,39,622
Amazon Development Centre India,3.9,7.3k,Internet,Hyderabad / Secunderabad,508000.0,,20
Sun Pharmaceutical Industries,4.1,7.3k,Pharma,Vadodara,999000.0,344,593
Hexaware Technologies,3.4,7.3k,IT Services & Consulting,Chennai,1301250.0,603,547
L&T Construction,4.0,7.1k,Engineering & Construction,Chennai,,,779
Lupin,4.1,7.1k,Pharma,Pune,669000.0,62,766
Zydus Lifesciences,4.0,7.1k,Pharma,Ahmedabad,887249.0,17,604
Hindustan Unilever,4.2,,FMCG,Mumbai,1075500.0,40,703
Equitas Small Finance Bank,4.2,6.9k,Banking,Chennai,565499.0,,397
Ekart Logistics,3.9,6.9k,Logistics,Bangalore / Bengaluru,419750.0,,422
KPMG India,3.4,6.8k,Management Consulting,Bangalore / Bengaluru,1560250.0,119,749
ITC,3.9,6.8k,FMCG,Bangalore / Bengaluru,1040499.0,64,637
Ujjivan Small Finance Bank,4.0,6.8k,Banking,Bangalore / Bengaluru,520999.0,112,579
Axis Max Life Insurance,4.0,6.7k,Insurance,New Delhi,679000.0,219,495
Megha Engineering & Infrastructures,3.9,6.5k,Engineering & Construction,Hyderabad / Secunderabad,,19,539
Tata Projects,4.2,6.5k,Engineering & Construction,Mumbai,987999.0,29,540
FIS,3.8,6.3k,FinTech,Pune,1383500.0,199,720
Coforge,3.2,6.3k,IT Services & Consulting,Noida,1616250.0,216,273
L&T Technology Services,3.1,6.2k,IT Services & Consulting,Bangalore / Bengaluru,,,415
Bajaj Life Insurance,3.9,6.2k,Insurance,Pune,,53,474
IIFL Finance,4.0,6.2k,NBFC,Mumbai,424499.0,34,433
Oracle,3.5,6.1k,Software Product,Bangalore / Bengaluru,2534500.0,687,617
Indian Army,4.7,6.1k,Defence & Aerospace,New Delhi,1178750.0,,728
Cholamandalam Investment & Finance,3.8,6.1k,Financial Services,Chennai,,32,293
JLL,4.1,,Real Estate,Gurgaon / Gurugram,374250.0,333,540
Omega Healthcare,3.8,,BPO,Chennai,722000.0,151,390
Muthoot Finance,3.7,,NBFC,Bangalore / Bengaluru,444499.0,49,325
HCL Group,3.5,,IT Services & Consulting,Chennai,1438500.0,,661
eClerx,3.1,5.9k,IT Services & Consulting,Pune,950000.0,97,554
Virtusa Consulting Services,3.7,5.8k,IT Services & Consulting,Hyderabad / Secunderabad,1353999.0,1.5k,318
Udaan,4.0,5.8k,Internet,Bangalore / Bengaluru,669000.0,,755
DMart,3.9,5.8k,Retail,Mumbai,417250.0,167,473
HSBC Group,3.9,5.7k,Financial Services,Bangalore / Bengaluru,2042250.0,118,1.1k
Indiamart Intermesh,3.5,5.7k,Internet,Noida,841250.0,651,431
Aurobindo Pharma,4.0,5.6k,Pharma,Hyderabad / Secunderabad,724000.0,,468
SMFG India Credit,3.9,5.6k,NBFC,Mumbai,644750.0,89,347
Siemens,3.9,5.6k,Industrial Automation,Bangalore / Bengaluru,,42,632
Shapoorji Pallonji Group,4.1,5.5k,Engineering & Construction,Mumbai,,63,632
BigBasket,3.9,5.5k,Internet,Bangalore / Bengaluru,445749.0,84,380
CGI Group,4.0,5.5k,IT Services & Consulting,Bangalore / Bengaluru,1221000.0,272,397
Access Healthcare,3.7,5.5k,Healthcare,Chennai,495750.0,683,347
ICICI Lombard General Insurance Company,3.5,5.5k,Insurance,Mumbai,,144,366
Manappuram Finance,3.9,5.5k,NBFC,Bangalore / Bengaluru,1935749.0,,260
Standard Chartered,3.6,5.5k,Banking,Chennai,1146250.0,,305
Firstsource Solutions,3.5,5.5k,BPO,Bangalore / Bengaluru,365750.0,144,570
GlobalLogic,3.5,5.5k,IT Services & Consulting,Hyderabad / Secunderabad,396250.0,59,515
Apollo Hospitals,4.0,5.4k,Healthcare,Chennai,489749.0,79,506
Mahindra Finance,3.9,5.4k,NBFC,Mumbai,533250.0,458,507
UST,3.7,5.4k,IT Services & Consulting,Bangalore / Bengaluru,1400749.0,158,407
Bosch Global Software Technologies,3.8,5.4k,IT Services & Consulting,Bangalore / Bengaluru,1585250.0,100,625
Ashok Leyland,4.0,5.3k,Automobile,Chennai,910249.0,,642
Citicorp,3.7,5.3k,Financial Services,Pune,2169999.0,,517
PolicyBazaar,3.7,5.3k,Internet,Gurgaon / Gurugram,466000.0,591,231
Cyient,3.6,5.2k,IT Services & Consulting,Hyderabad / Secunderabad,810749.0,103,466
Swiggy,3.7,5.2k,Internet,Bangalore / Bengaluru,1069000.0,248,342
Hero MotoCorp,4.1,5.2k,Automobile,Gurgaon / Gurugram,1153500.0,,584
JustDial,3.5,,Internet,Noida,470999.0,58,372
SBI Cards & Payment Services,3.6,,Financial Services,Gurgaon / Gurugram,,113,344
Kalpataru Projects International,4.1,,Engineering & Construction,Mumbai,931750.0,,203
IQVIA,3.7,,Clinical Research,Bangalore / Bengaluru,1221000.0,19,524
BNY,3.7,,Financial Services,Pune,1330250.0,,527
CBRE,4.1,4.9k,Real Estate,Hyderabad / Secunderabad,1056750.0,29,443
SBI Life Insurance Company,3.7,4.9k,Insurance,Mumbai,630749.0,,326
TVS Motor,3.9,4.9k,Automobile,Hosur,612750.0,71,536
NTT Data,3.8,4.9k,IT Services & Consulting,Bangalore / Bengaluru,1296250.0,123,156
Nagarjuna Construction Company,4.1,4.9k,Engineering & Construction,Hyderabad / Secunderabad,610749.0,14,407
vivo,4.1,4.8k,Consumer Electronics & Appliances,Noida,1865250.0,,643
Persistent Systems,3.6,4.8k,IT Services & Consulting,Pune,418999.0,291,369
Atos,3.8,4.8k,IT Services & Consulting,Pune,1069500.0,109,454
State Bank of India,3.8,4.8k,Banking,Mumbai,811499.0,18,400
Eviden,3.6,4.8k,IT Services & Consulting,Pune,1178749.0,,
Schneider Electric,4.1,4.7k,Industrial Automation,Bangalore / Bengaluru,1490000.0,37,463
Ecom Express,4.0,4.7k,Logistics,Gurgaon / Gurugram,452499.0,,323
Amdocs,3.6,4.7k,Software Product,Pune,1571500.0,59,613
Nagarro,3.9,4.7k,IT Services & Consulting,Gurgaon / Gurugram,2188749.0,335,1.1k
KEC International,4.0,4.6k,Engineering & Construction,Mumbai,800250.0,,441
JBM Group,3.9,4.6k,Auto Components,Gurgaon / Gurugram,399999.0,44,342
Home Credit Finance,4.0,4.6k,NBFC,Gurgaon / Gurugram,300750.0,111,629
Varun Beverages,4.0,4.6k,Beverage,New Delhi,563249.0,36,321
Piramal Capital Housing Finance,4.2,4.5k,NBFC,Mumbai,,,262
Bosch,4.2,4.5k,Auto Components,Bangalore / Bengaluru,1068250.0,,599
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida,359250.0,,602
Hewlett Packard Enterprise,4.1,4.5k,IT Services & Consulting,Bangalore / Bengaluru,1041249.0,98,546
EY Global Delivery Services,3.5,4.4k,Accounting & Auditing,Bangalore / Bengaluru,,34,145
ITC Infotech,3.7,4.4k,IT Services & Consulting,Bangalore / Bengaluru,1335000.0,99,281
Mahindra Logistics,3.7,4.4k,Logistics,Mumbai,922749.0,,445
Dell,3.8,4.4k,Consumer Electronics & Appliances,Bangalore / Bengaluru,1831750.0,24,540
Aditya Birla Fashion and Retail,4.1,4.4k,Fashion & Textile,Bangalore / Bengaluru,677750.0,70,391
L&T Finance,3.9,4.4k,NBFC,Mumbai,,,260
Randstad,3.7,4.4k,Recruitment,Hyderabad / Secunderabad,533000.0,,331
CARS,3.4,4.4k,Internet,Gurgaon / Gurugram,,95,410
R,3.8,4.3k,BPO,New Delhi,690250.0,145,333
Havells,3.9,4.3k,Electrical Equipment,Noida,506750.0,35,315
Intas Pharmaceuticals,4.1,4.3k,Pharma,Ahmedabad,759749.0,44,362
Utkarsh Small Finance Bank,3.6,4.3k,Banking,Varanasi,1243749.0,26,269
Hyundai Motor India Limited,4.1,4.3k,Automobile,Chennai,767499.0,,517
Deutsche Bank,3.9,4.2k,Banking,Pune,1724250.0,675,399
Tata AIA Life Insurance,3.9,4.2k,Insurance,Mumbai,848500.0,639,297
Hetero,3.9,4.2k,Pharma,Hyderabad / Secunderabad,499250.0,143,332
Motilal Oswal Financial Services,3.7,4.2k,Financial Services,Mumbai,557750.0,65,167
Team Lease,3.9,4.1k,Recruitment,Bangalore / Bengaluru,452500.0,,215
Berger Paints,3.7,4.1k,Chemicals,Kolkata,834750.0,172,272
Lenskart,3.2,4.1k,Internet,New Delhi,935000.0,115,198
Bajaj Auto,3.8,4.1k,Automobile,Pune,762750.0,,496
Thermax Limited,4.2,,Industrial Machinery,Pune,,109,371
Aakash Educational Services,3.2,,Education & Training,New Delhi,595000.0,78,212
Macleods Pharmaceuticals,3.6,,Pharma,Mumbai,681999.0,13,333
LG Electronics,3.9,,Consumer Electronics & Appliances,Pune,960500.0,,399
Jubilant Foods Works,3.7,,Hospitality,New Delhi,1007749.0,151,180
VE Commercial Vehicles,3.9,3.9k,Automobile,Indore,939749.0,,340
Royal Enfield,4.2,3.9k,Automobile,Chennai,754250.0,12,396
Tata Communications,3.9,3.9k,Telecom,Pune,1085250.0,29,426
John Deere,4.0,3.9k,Industrial Machinery,Pune,1497250.0,,417
Jindal Steel Limited,3.9,3.9k,Iron & Steel,Angul,1032749.0,31,328
HDFC Ergo General Insurance,3.9,3.9k,Insurance,Mumbai,662750.0,28,273
DCB Bank,3.8,3.9k,Banking,Mumbai,658499.0,,248
Hindalco Industries,4.2,3.9k,Metals & Mining,Sambalpur,967750.0,22,328
Oyo Rooms,3.1,3.8k,Internet,Gurgaon / Gurugram,963999.0,113,389
Cummins,4.3,3.8k,Industrial Machinery,Pune,938500.0,10,458
State Street Corporation,3.5,3.8k,Financial Services,Bangalore / Bengaluru,1255750.0,,261
RBL Bank,3.6,3.8k,Banking,Mumbai,818500.0,61,221
Reliance Communications,4.0,3.8k,Telecom,Mumbai,512500.0,,375
Carelon Global Solutions,3.9,3.8k,Software Product,Bangalore / Bengaluru,1166000.0,31,
Alembic Pharmaceuticals,3.9,3.7k,Pharma,Vadodara,767500.0,62,378
Bank of America,4.2,3.7k,Banking,Gurgaon / Gurugram,1808749.0,,411
Pidilite Industries,4.2,3.7k,Chemicals,Mumbai,435250.0,,359
XpressBees,4.2,3.7k,Logistics,Pune,1299750.0,12,176
Subros,3.8,3.7k,Auto Components,Noida,381500.0,,379
PVR Inox,3.9,3.7k,Media & Entertainment,New Delhi,,10,241
American Express,4.1,3.7k,Financial Services,Gurgaon / Gurugram,2358000.0,179,434
Publicis Sapient,3.4,3.7k,IT Services & Consulting,Bangalore / Bengaluru,2119999.0,265,391
Viatris,4.1,3.7k,Pharma,Hyderabad / Secunderabad,1127250.0,,500
Kogta Financial India Limited,4.7,3.7k,NBFC,Jaipur,404000.0,108,31
Automatic Data Processing,3.9,3.7k,Software Product,Hyderabad / Secunderabad,,20,457
Sodexo,4.0,3.6k,Facility Management Services,Mumbai,527000.0,,375
Escorts Kubota Limited,4.0,3.6k,Automobile,Faridabad,541750.0,,255
PNB MetLife,3.4,3.6k,Insurance,New Delhi,760500.0,,215
Aditya Birla Sun Life Insurance,4.0,3.6k,Insurance,Mumbai,623000.0,,214
Maersk,4.0,3.6k,Logistics,Chennai,1369000.0,65,420
Grasim Industries,4.0,3.6k,Building Material,Bharuch,779249.0,,267
Tata Capital,3.9,3.6k,NBFC,Mumbai,1099750.0,1.1k,107
Kyndryl,3.9,3.6k,IT Services & Consulting,Bangalore / Bengaluru,1458500.0,18,163
Godrej & Boyce Manufacturing,3.9,3.5k,Consumer Electronics & Appliances,Mumbai,267000.0,71,412
Cogent E Services,3.1,3.5k,BPO,Noida,,,220
Birlasoft,3.5,3.5k,IT Services & Consulting,Pune,521249.0,,234
Samvardhana Motherson Group,3.7,3.5k,Auto Components,Noida,999000.0,11,403
Dabur,3.9,3.5k,FMCG,New Delhi,1170000.0,15,275
Abbott,4.1,3.5k,Pharma,Mumbai,1716000.0,284,361
Glenmark Pharmaceuticals,3.8,3.5k,Pharma,Mumbai,1191750.0,119,317
Synechron,3.5,3.5k,IT Services & Consulting,Pune,708250.0,63,237
Bharat Electronics,4.2,3.5k,Electronics Manufacturing,Bangalore / Bengaluru,2029500.0,,312
Kotak Mahindara Life Insurance,3.5,3.5k,Insurance,Mumbai,694500.0,249,256
JK Cement,4.0,3.5k,Building Material,New Delhi,989750.0,,257
KPIT Technologies,3.0,3.5k,Software Product,Pune,576750.0,59,289
Aarti Industries,4.0,3.5k,Agro Chemicals,Bharuch,1360000.0,29,351
Ipca Laboratories,3.9,3.5k,Pharma,Mumbai,417750.0,34,245
Indian Oil Corporation,4.4,3.5k,Oil & Gas,New Delhi,,,290
Reliance Projects & Property Management Services,4.0,3.5k,IT Services & Consulting,Kolkata,709749.0,,20
Alkem Laboratories,3.9,3.4k,Pharma,Mumbai,,18,328
NTT DATA,3.9,3.4k,IT Services & Consulting,Bangalore / Bengaluru,900250.0,64,624
MRF Tyres,3.6,3.4k,Auto Components,Chennai,418750.0,17,345
Johnson Controls,3.5,3.4k,Industrial Automation,Pune,551499.0,17,266
Reliance Digital,4.1,3.4k,Retail,Mumbai,1169500.0,,241
IGT Solutions,3.3,3.4k,BPO,New Delhi,564250.0,91,213
Honda Motorcycle & Scooter,4.1,3.4k,Automobile,Gurgaon / Gurugram,,,348
Vishal Mega Mart,3.7,3.3k,Retail,New Delhi,478500.0,,272
Ford Motor,4.2,3.3k,Automobile,Chennai,1573499.0,,397
UBS,3.9,3.3k,Financial Services,Pune,,,117
,3.4,3.3k,Software Product,Bangalore / Bengaluru,2186999.0,60,406
Hindustan Coca Cola Beverages,4.0,3.3k,Beverage,Bangalore / Bengaluru,937500.0,29,377
ArcelorMittal Nippon Steel,4.1,3.3k,Iron & Steel,Surat,784499.0,34,111
DTDC Express,3.7,3.3k,Logistics,New Delhi,,18,263
Reliance Nippon Life Insurance,3.4,3.3k,Insurance,Mumbai,1115500.0,,229
PhonePe,4.0,3.3k,FinTech,Bangalore / Bengaluru,584500.0,,183
Ceat Tyres,3.9,3.3k,Auto Components,Nagpur,598000.0,,346
HARMAN,3.8,3.2k,Consumer Electronics & Appliances,Bangalore / Bengaluru,1759250.0,213,100
ABB,4.1,3.2k,Industrial Machinery,Bangalore / Bengaluru,1456250.0,504,346
UNO Minda,3.9,3.2k,Auto Components,Pune,1621249.0,,262
